States,Latitude,Longitude,Statecode
Andaman and Nicobar Islands,11.667025599999999,92.73598262,AN
Andhra Pradesh,15.7504291,80.57002559,AP
Arunachal Pradesh,27.1003988,93.61660071,AR
Assam,26.7499809,94.21666744,AS
Bihar,24.5854145,85.07997270000001,BR
Chandigarh,30.719996999999996,76.78000565,CG
Chhattisgarh,22.0904204,82.15998734,CH
Delhi,28.6699929,77.23000403,DL
Goa,15.491997,73.81800065,GA
Haryana,28.050006300000003,76.51999101,HR
Himachal Pradesh,31.1000255,77.16659704,HP
Jammu and Kashmir,33.5999593,75.46665849,JK
Jharkhand,23.8003935,86.41998572,JH
Karnataka,12.570381300000001,76.91999711,KA
Kerala,8.9003727,76.56999263,KL
Lakshadweep,10.5625733,72.63686717,LD
Madhya Pradesh,22.300391100000002,78.13001949,MP
Maharashtra,19.250232,75.16017493,MH
Manipur,24.7999707,93.95001705,MN
Meghalaya,25.5704922,91.8800142,ML
Mizoram,23.710399,92.72001461,MZ
Nagaland,25.6669979,94.11657019,NL
Odisha,19.8204297,85.40001746,OR
Puducherry,11.9349937,79.83000037,PY
Punjab,30.019973999999998,75.98000281,PB
Rajasthan,26.449999199999997,74.63998124,RJ
Sikkim,27.3333303,88.6166475,SK
Tamil Nadu,10.4203858,78.15004187,TN
Tripura,23.8354043,91.27999914,TR
Uttar Pradesh,26.599980699999996,80.05000565,UP
Uttarakhand,30.320409,78.05000565,UK
West Bengal,22.5803904,87.52994665,WB
Gujarat,22.2587,71.7924,GJ
Ladakh,34.152588,77.577049,LA
Telangana,17.1124,79.0193,TS